Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
ASUS VG32V,Device,Render,NVIDIA High Definition Audio,,,,Active,No,-13.15 dB,42.0%,-96.00 dB,0.00 dB,1.50 dB,2,"-13.15 dB, -13.15 dB","42.0%, 42.0%",{0.0.0.00000000}.{8628637f-00e3-443d-a21a-3f7b80b18075},NVIDIA High Definition Audio\Device\ASUS VG32V\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{8628637f-00e3-443d-a21a-3f7b80b18075},0x3 0x0 0x0,"2 Channel, 24 bit, 96000 Hz"
CABLE In 16ch,Device,Render,VB-Audio Virtual Cable,,,,Active,No,-24.50 dB,19.8%,-96.00 dB,0.00 dB,0.50 dB,16,"-24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB, -24.50 dB","19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%, 19.8%",{0.0.0.00000000}.{cf6330fa-f2e2-4c6d-bd14-026e63a8c515},VB-Audio Virtual Cable\Device\CABLE In 16ch\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{cf6330fa-f2e2-4c6d-bd14-026e63a8c515},0x3 0x0 0x0,"2 Channel, 24 bit, 48000 Hz"
CABLE Input,Device,Render,VB-Audio Virtual Cable,Render,Render,Render,Active,No,-24.35 dB,20.0%,-96.00 dB,0.00 dB,0.50 dB,16,"-24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB, -24.35 dB","20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%, 20.0%",{0.0.0.00000000}.{4067381c-a22d-43a3-9c4b-08193ecccec8},VB-Audio Virtual Cable\Device\CABLE Input\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{4067381c-a22d-43a3-9c4b-08193ecccec8},0x3 0x0 0x0,"2 Channel, 24 bit, 48000 Hz"
CABLE Output,Device,Capture,VB-Audio Virtual Cable,Capture,Capture,Capture,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,16,"-0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB, -0.00 dB","100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{f2e31873-c707-44dc-a865-541ced39273f},VB-Audio Virtual Cable\Device\CABLE Output\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{f2e31873-c707-44dc-a865-541ced39273f},,"2 Channel, 24 bit, 48000 Hz"
Capture,Subunit,Capture,Razer Barracuda X 2.4,,,,,No,,100.0%,-33.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{2}.\\?\usb#vid_1532&pid_0552&mi_00#9&3787309b&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,Razer Barracuda X 2.4\Subunit\Capture,,,,,,
ffmpeg.exe,Application,Capture,VB-Audio Virtual Cable,,,,Active,No,,100.0%,,,0.00 dB,16,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{f2e31873-c707-44dc-a865-541ced39273f}|\Device\HarddiskVolume3\Users\kepne\OneDrive\Documents\GitHub\pcnestspeaker\ffmpeg\ffmpeg.exe%b{00000000-0000-0000-0000-000000000000}|1%b45728,VB-Audio Virtual Cable\Application\ffmpeg.exe,C:\Users\kepne\OneDrive\Documents\GitHub\pcnestspeaker\ffmpeg\ffmpeg.exe,45728,,,,
Headphones,Device,Render,Oculus Virtual Audio Device,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{73b2fcd6-d817-4629-9c22-d4512312ce28},Oculus Virtual Audio Device\Device\Headphones\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{73b2fcd6-d817-4629-9c22-d4512312ce28},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Mic Volume,Subunit,Capture,DroidCam Virtual Audio,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,DroidCam Virtual Audio\Subunit\Mic Volume,,,,,,
Mic Volume,Subunit,Capture,Steam Streaming Microphone,,,,,No,,,,,0.00 dB,1,,,{2}.\\?\root#steamstreamingmicrophone#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,Steam Streaming Microphone\Subunit\Mic Volume,,,,,,
Microphone,Device,Capture,Razer Barracuda X 2.4,,,,Active,No,0.00 dB,100.0%,-33.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{0.0.1.00000000}.{f7cf95b0-bc2e-423f-8077-5ee066afce61},Razer Barracuda X 2.4\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{f7cf95b0-bc2e-423f-8077-5ee066afce61},,"1 Channel, 16 bit, 48000 Hz"
Microphone,Device,Capture,Steam Streaming Microphone,,,,Active,No,30.00 dB,100.0%,-96.00 dB,30.00 dB,1.50 dB,1,30.00 dB,100.0%,{0.0.1.00000000}.{df9d9308-33c8-464f-8a39-10e7152e53e2},Steam Streaming Microphone\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{df9d9308-33c8-464f-8a39-10e7152e53e2},,"1 Channel, 16 bit, 48000 Hz"
Microphone,Device,Capture,DroidCam Virtual Audio,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.1.00000000}.{7244fc58-8a8f-446c-9a6b-54dc56ebf203},DroidCam Virtual Audio\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{7244fc58-8a8f-446c-9a6b-54dc56ebf203},,"1 Channel, 16 bit, 16000 Hz"
Microsoft® Windows® Operating System,Application,Capture,VB-Audio Virtual Cable,,,,Active,No,,100.0%,,,0.00 dB,16,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{f2e31873-c707-44dc-a865-541ced39273f}|\Device\HarddiskVolume3\Windows\ImmersiveControlPanel\SystemSettings.exe%b{00000000-0000-0000-0000-000000000000}|1%b45484,VB-Audio Virtual Cable\Application\Microsoft® Windows® Operating System,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,45484,,,,
Speakers,Device,Render,Steam Streaming Speakers,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{fbf1da88-5624-490b-af71-9e70e914273a},Steam Streaming Speakers\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{fbf1da88-5624-490b-af71-9e70e914273a},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Speakers,Device,Render,Steam Streaming Microphone,,,,Active,No,-14.66 dB,38.0%,-96.00 dB,0.00 dB,1.50 dB,1,-14.66 dB,38.0%,{0.0.0.00000000}.{a56066c0-627b-4bc5-86cc-71d1dfabec35},Steam Streaming Microphone\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{a56066c0-627b-4bc5-86cc-71d1dfabec35},0x4 0x0 0x0,"1 Channel, 16 bit, 48000 Hz"
Speakers,Subunit,Render,Virtual Desktop Audio,,,,,No,,15.2%,-96.00 dB,0.00 dB,0.50 dB,1,-16.34 dB,15.2%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,Virtual Desktop Audio\Subunit\Speakers,,,,,,
Speakers,Device,Render,Razer Barracuda X 2.4,,,,Active,No,-6.21 dB,66.0%,-65.63 dB,0.00 dB,0.38 dB,2,"-6.21 dB, -6.21 dB","66.0%, 66.0%",{0.0.0.00000000}.{9cd39fff-27cd-45f9-b9f2-4ab032b5a734},Razer Barracuda X 2.4\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{9cd39fff-27cd-45f9-b9f2-4ab032b5a734},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Speakers,Subunit,Render,Steam Streaming Microphone,,,,,No,,,,,0.00 dB,1,,,{2}.\\?\root#steamstreamingmicrophone#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,Steam Streaming Microphone\Subunit\Speakers,,,,,,
Speakers,Device,Render,Virtual Desktop Audio,,,,Active,No,-16.34 dB,34.0%,-96.00 dB,0.00 dB,0.50 dB,1,-16.34 dB,34.0%,{0.0.0.00000000}.{3413ac7d-4741-4543-9f75-3f4baade5e13},Virtual Desktop Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{3413ac7d-4741-4543-9f75-3f4baade5e13},0x3 0x3 0x3,"2 Channel, 24 bit, 48000 Hz"
Speakers,Subunit,Render,Steam Streaming Speakers,,,,,No,,,,,0.00 dB,1,,,{2}.\\?\root#steamstreamingspeakers#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,Steam Streaming Speakers\Subunit\Speakers,,,,,,
Spotify,Application,Render,VB-Audio Virtual Cable,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{4067381c-a22d-43a3-9c4b-08193ecccec8}|\Device\HarddiskVolume3\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.279.427.0_x64__zpdnekdrzrea0\Spotify.exe%b{00000000-0000-0000-0000-000000000000}|1%b29852,VB-Audio Virtual Cable\Application\Spotify,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.279.427.0_x64__zpdnekdrzrea0\Spotify.exe,29852,TOOL - Opiate²,,,
System Sounds,Application,Capture,Steam Streaming Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{df9d9308-33c8-464f-8a39-10e7152e53e2}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Steam Streaming Microphone\Application\System Sounds,,,,,,
System Sounds,Application,Render,Virtual Desktop Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{3413ac7d-4741-4543-9f75-3f4baade5e13}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Virtual Desktop Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,VB-Audio Virtual Cable,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{f2e31873-c707-44dc-a865-541ced39273f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f04a106e-5a2e-4cec-bfd3-0ba4095d669d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{4067381c-a22d-43a3-9c4b-08193ecccec8}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,,
System Sounds,Application,Render,Oculus Virtual Audio Device,,,,Inactive,No,,81.5%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{73b2fcd6-d817-4629-9c22-d4512312ce28}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Oculus Virtual Audio Device\Application\System Sounds,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{8628637f-00e3-443d-a21a-3f7b80b18075}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9340c581-ef1a-4a17-bcf7-30f68108b7b4}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,Razer Barracuda X 2.4,,,,Inactive,No,,0.1%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9cd39fff-27cd-45f9-b9f2-4ab032b5a734}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Razer Barracuda X 2.4\Application\System Sounds,,,,,,
System Sounds,Application,Render,Steam Streaming Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.0.00000000}.{a56066c0-627b-4bc5-86cc-71d1dfabec35}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Steam Streaming Microphone\Application\System Sounds,,,,,,
System Sounds,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{cf6330fa-f2e2-4c6d-bd14-026e63a8c515}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Razer Barracuda X 2.4,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{f7cf95b0-bc2e-423f-8077-5ee066afce61}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Razer Barracuda X 2.4\Application\System Sounds,,,,,,
